,year,rank,song,singer,urls,top_predicted_genre,second_predicted_genre,display_genre
35,1973,36,Danny's Song,Anne Murray,https://www.youtube.com/watch?v=e5C255Pw7KI,Blues,Experimental,Blues
2,1973,3,Killing Me Softly with His Song,Roberta Flack,https://www.youtube.com/watch?v=DEbi_YjpA-Y,Experimental,Classical,Classical
4,1973,5,My Love,Paul McCartney & Wings,https://www.youtube.com/watch?v=FszrwclD_-Q,Experimental,Classical,Classical
5,1973,6,Why Me,Kris Kristofferson,https://www.youtube.com/watch?v=DgDs_JE4Qcg,Experimental,Classical,Classical
10,1973,11,The Night the Lights Went Out in Georgia,Vicki Lawrence,https://www.youtube.com/watch?v=K-qK7oVXVRQ,Experimental,Classical,Classical
43,1973,44,Daddy's Home,Jermaine Jackson,https://www.youtube.com/watch?v=Fx_Y_0K3Hx4,Experimental,Classical,Classical
6,1973,7,Crocodile Rock,Elton John,https://www.youtube.com/watch?v=-8PiA0FAYBI,Experimental,Electronic,Electronic
12,1973,13,Brother Louie,Stories,https://www.youtube.com/watch?v=jidMaFbmaok,Experimental,Electronic,Electronic
15,1973,16,Frankenstein,The Edgar Winter Group,https://www.youtube.com/watch?v=P8f-Qb-bwlU,Experimental,Electronic,Electronic
18,1973,19,You Are the Sunshine of My Life,Stevie Wonder,https://www.youtube.com/watch?v=F8PGHi4TJQM,Experimental,Electronic,Electronic
19,1973,20,Half-Breed,Cher,https://www.youtube.com/watch?v=t9xTXZwnJUk,Experimental,Electronic,Electronic
20,1973,21,That Lady,The Isley Brothers,https://www.youtube.com/watch?v=nHp4Nk7fS0k,Experimental,Electronic,Electronic
21,1973,22,Pillow Talk,Sylvia Robinson,https://www.youtube.com/watch?v=NA2X1040_gY,Experimental,Electronic,Electronic
24,1973,25,Wildflower,Skylark,https://www.youtube.com/watch?v=JYXVKqwHxuE,Experimental,Electronic,Electronic
32,1973,33,I'm Gonna Love You Just a Little More Baby,Barry White,https://www.youtube.com/watch?v=TOHoaP36hgA,Experimental,Electronic,Electronic
36,1973,37,Dancing in the Moonlight,King Harvest,https://www.youtube.com/watch?v=SEb8tuYhDBI,Experimental,Electronic,Electronic
37,1973,38,Monster Mash,Bobby 'Boris' Pickett,https://www.youtube.com/watch?v=-YpwUuoun2E,Experimental,Electronic,Electronic
38,1973,39,Natural High,Bloodstone,https://www.youtube.com/watch?v=QBHBp-ZCoq4,Experimental,Electronic,Electronic
40,1973,41,Long Train Runnin',The Doobie Brothers,https://www.youtube.com/watch?v=m4tJSn0QtME,Experimental,Electronic,Electronic
42,1973,43,If You Want Me to Stay,Sly & the Family Stone,https://www.youtube.com/watch?v=gZFabOuF4Ps,Experimental,Electronic,Electronic
46,1973,47,Could It Be I'm Falling in Love,The Spinners,https://www.youtube.com/watch?v=EU4UTDrSwQc,Experimental,Electronic,Electronic
28,1973,29,Rocky Mountain High,John Denver,https://www.youtube.com/watch?v=eWtJusRqoug,Experimental,Folk,Folk
47,1973,48,Daniel,Elton John,https://www.youtube.com/watch?v=0f0TMfQNRk8,Folk,Pop,Folk
30,1973,31,Shambala,Three Dog Night,https://www.youtube.com/watch?v=LFbxd-rzv_4,Jazz,Experimental,Jazz
33,1973,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,https://www.youtube.com/watch?v=3Q-m_CxQacM,Experimental,Jazz,Jazz
39,1973,40,Diamond Girl,Seals and Crofts,https://www.youtube.com/watch?v=RC-oP84mRME,Experimental,Jazz,Jazz
1,1973,2,"Bad, Bad Leroy Brown",Jim Croce,https://www.youtube.com/watch?v=ALUgmzI0v3I,Experimental,Pop,Pop
3,1973,4,Let's Get It On,Marvin Gaye,https://www.youtube.com/watch?v=x6QZn9xiuOE,Experimental,Pop,Pop
11,1973,12,Playground in My Mind,Clint Holmes,https://www.youtube.com/watch?v=Q2xgm03xx2U,Experimental,Pop,Pop
13,1973,14,Delta Dawn,Helen Reddy,https://www.youtube.com/watch?v=plXod6zVyIo,Experimental,Pop,Pop
14,1973,15,Me and Mrs. Jones,Billy Paul,https://www.youtube.com/watch?v=uXLEd1R1uKk,Experimental,Pop,Pop
26,1973,27,Loves Me Like a Rock,Paul Simon,https://www.youtube.com/watch?v=CjFzw8AxSBA,Experimental,Pop,Pop
27,1973,28,The Morning After,Maureen McGovern,https://www.youtube.com/watch?v=45CkDKnLCHM,Experimental,Pop,Pop
29,1973,30,Stuck in the Middle with You,Stealers Wheel,https://www.youtube.com/watch?v=ln7Vn_WKkWU,Experimental,Pop,Pop
48,1973,49,Midnight Train to Georgia,Gladys Knight & the Pips,https://www.youtube.com/watch?v=A0F9lh8TiSM,Experimental,Pop,Pop
0,1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,https://www.youtube.com/watch?v=PxG9XFqHSFw,Experimental,Rock,Rock
7,1973,8,Will It Go Round in Circles,Billy Preston,https://www.youtube.com/watch?v=I_e-RQZVwxg,Experimental,Rock,Rock
8,1973,9,You're So Vain,Carly Simon,https://www.youtube.com/watch?v=mQZmCJUSC6g,Experimental,Rock,Rock
9,1973,10,Touch Me in the Morning,Diana Ross,https://www.youtube.com/watch?v=6rQ-p0WnGd8,Experimental,Rock,Rock
16,1973,17,Drift Away,Dobie Gray,https://www.youtube.com/watch?v=NIuyDWzctgY,Experimental,Rock,Rock
17,1973,18,Little Willy,Sweet,https://www.youtube.com/watch?v=NM6I-pmV0RA,Rock,Experimental,Rock
22,1973,23,We're an American Band,Grand Funk Railroad,https://www.youtube.com/watch?v=QxNXFNCTr2I,Experimental,Rock,Rock
23,1973,24,Right Place Wrong Time,Dr. John,https://www.youtube.com/watch?v=G5zPqgQ67yo,Experimental,Rock,Rock
25,1973,26,Superstition,Stevie Wonder,https://www.youtube.com/watch?v=97hwNY3ni10,Rock,Experimental,Rock
31,1973,32,Love Train,The O'Jays,https://www.youtube.com/watch?v=SsYOAIR4L_w,Experimental,Rock,Rock
34,1973,35,Keep on Truckin',Eddie Kendricks,https://www.youtube.com/watch?v=Mx43392TEbA,Experimental,Rock,Rock
41,1973,42,Give Me Love (Give Me Peace on Earth),George Harrison,https://www.youtube.com/watch?v=ZbgCtrkam_U,Experimental,Rock,Rock
44,1973,45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,https://www.youtube.com/watch?v=i810mVyAZDw,Experimental,Rock,Rock
45,1973,46,I'm Doin' Fine Now,New York City,https://www.youtube.com/watch?v=fBUO0YsK1WI,Experimental,Rock,Rock
49,1973,50,Smoke on the Water,Deep Purple,https://www.youtube.com/watch?v=0WpKpcEORxo,Rock,Experimental,Rock
76,1974,27,Sundown,Gordon Lightfoot,https://www.youtube.com/watch?v=YdBU-jpJJtA,Experimental,Blues,Blues
94,1974,45,Living for the City,Stevie Wonder,https://www.youtube.com/watch?v=7_RgaYueeh4,Experimental,Blues,Blues
50,1974,1,The Way We Were,Barbra Streisand,https://www.youtube.com/watch?v=ifWOSnoCS0M,Experimental,Classical,Classical
74,1974,25,Annie's Song,John Denver,https://www.youtube.com/watch?v=eMCihEW3Tlc,Classical,Experimental,Classical
97,1974,48,The Entertainer,Marvin Hamlisch,https://www.youtube.com/watch?v=XhFbKnXVg30,Experimental,Classical,Classical
53,1974,4,Come and Get Your Love,Redbone,https://www.youtube.com/watch?v=Dj0drevGOgA,Experimental,Electronic,Electronic
68,1974,19,Sideshow,Blue Magic,https://www.youtube.com/watch?v=_Rs3vqF3nPo,Experimental,Electronic,Electronic
78,1974,29,Rock Me Gently,Andy Kim,https://www.youtube.com/watch?v=e00sWHSGfqQ,Experimental,Electronic,Electronic
80,1974,31,You're Sixteen,Ringo Starr,https://www.youtube.com/watch?v=1U32szYVAY8,Experimental,Electronic,Electronic
83,1974,34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips,https://www.youtube.com/watch?v=8FT5QF4JZUA,Experimental,Electronic,Electronic
84,1974,35,Feel Like Makin' Love,Roberta Flack,https://www.youtube.com/watch?v=xVybozv_L3M,Experimental,Electronic,Electronic
87,1974,38,Rock Your Baby,George McCrae,https://www.youtube.com/watch?v=arxhW1RgDDo,Experimental,Electronic,Electronic
91,1974,42,The Show Must Go On,Three Dog Night,https://www.youtube.com/watch?v=xtAlzo_pqys,Experimental,Electronic,Electronic
96,1974,47,The Night Chicago Died,Paper Lace,https://www.youtube.com/watch?v=p-L0NpaErkk,Experimental,Electronic,Electronic
54,1974,5,Dancing Machine,The Jackson 5,https://www.youtube.com/watch?v=VORrgGlgL28,Experimental,Folk,Folk
61,1974,12,Jungle Boogie,Kool & the Gang,https://www.youtube.com/watch?v=-BM5wPOe0xQ,Experimental,Folk,Folk
67,1974,18,Sunshine on My Shoulders,John Denver,https://www.youtube.com/watch?v=diwuu_r6GJE,Experimental,Folk,Folk
73,1974,24,Time in a Bottle,Jim Croce,https://www.youtube.com/watch?v=3yiYsbQ6oEo,Experimental,Folk,Folk
88,1974,39,Top of the World,The Carpenters,https://www.youtube.com/watch?v=SKyrZiKVRvU,Folk,Experimental,Folk
90,1974,41,I've Got to Use My Imagination,Gladys Knight & the Pips,https://www.youtube.com/watch?v=3i6mp6tBGZY,Hip-Hop,Pop,Hip-Hop
60,1974,11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,https://www.youtube.com/watch?v=Nbokg0KM-n8,Jazz,Experimental,Jazz
64,1974,15,Show and Tell,Al Wilson,https://www.youtube.com/watch?v=4qgXxFG-Mok,Experimental,Jazz,Jazz
79,1974,30,Boogie Down,Eddie Kendricks,https://www.youtube.com/watch?v=OpU5ZTYlp1A,Jazz,Experimental,Jazz
89,1974,40,The Joker,Steve Miller Band,https://www.youtube.com/watch?v=dV3AziKTBUo,Jazz,Experimental,Jazz
51,1974,2,Seasons in the Sun,Terry Jacks,https://www.youtube.com/watch?v=bWdQbxNEFEs,Experimental,Pop,Pop
58,1974,9,Bennie and the Jets,Elton John,https://www.youtube.com/watch?v=wo1OwRTRKRk,Experimental,Pop,Pop
59,1974,10,One Hell of a Woman,Mac Davis,https://www.youtube.com/watch?v=yOlzeTVXBEY,Experimental,Pop,Pop
62,1974,13,Midnight at the Oasis,Maria Muldaur,https://www.youtube.com/watch?v=VlrKETxwRvM,Pop,Experimental,Pop
63,1974,14,You Make Me Feel Brand New,The Stylistics,https://www.youtube.com/watch?v=dJm51jsRoo0,Experimental,Pop,Pop
65,1974,16,Spiders and Snakes,Jim Stafford,https://www.youtube.com/watch?v=Je3EiwKArlQ,Experimental,Pop,Pop
70,1974,21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods,https://www.youtube.com/watch?v=AjilwTUGE5g,Experimental,Pop,Pop
77,1974,28,(You're) Having My Baby,Paul Anka,https://www.youtube.com/watch?v=SFHWl-ZyRAg,Experimental,Pop,Pop
81,1974,32,If You Love Me (Let Me Know),Olivia Newton-John,https://www.youtube.com/watch?v=dkMkHpKpLkM,Experimental,Pop,Pop
86,1974,37,Nothing from Nothing,Billy Preston,https://www.youtube.com/watch?v=IX2bE-OBtwk,Pop,Experimental,Pop
95,1974,46,Then Came You,"Dionne Warwick,The Spinners,",https://www.youtube.com/watch?v=L_PzcgyqMwE,Experimental,Pop,Pop
99,1974,50,The Air That I Breathe,The Hollies,https://www.youtube.com/watch?v=70rm31ClOiE,Pop,Experimental,Pop
52,1974,3,Love's Theme,Love Unlimited Orchestra,https://www.youtube.com/watch?v=RLTJ95kj9ng,Experimental,Rock,Rock
55,1974,6,The Loco-Motion,Grand Funk Railroad,https://www.youtube.com/watch?v=7HRhEEm8Dic,Experimental,Rock,Rock
56,1974,7,TSOP (The Sound of Philadelphia),MFSB,https://www.youtube.com/watch?v=LS2PQs_IRNk,Experimental,Rock,Rock
69,1974,20,Hooked on a Feeling,Blue Swede,https://www.youtube.com/watch?v=w5jkAkm4JmM,Experimental,Rock,Rock
71,1974,22,Band on the Run,Paul McCartney and Wings,https://www.youtube.com/watch?v=RjlvdcBAKdg,Experimental,Rock,Rock
72,1974,23,The Most Beautiful Girl,Charlie Rich,https://www.youtube.com/watch?v=Ew60rig0Ej4,Experimental,Rock,Rock
75,1974,26,Let Me Be There,Olivia Newton-John,https://www.youtube.com/watch?v=rR8hCFfvZPk,Experimental,Rock,Rock
82,1974,33,Dark Lady,Cher,https://www.youtube.com/watch?v=JXUH7Wk8-WI,Experimental,Rock,Rock
85,1974,36,Just Don't Want to Be Lonely,The Main Ingredient,https://www.youtube.com/watch?v=MWCixfAT-3I,Experimental,Rock,Rock
92,1974,43,Rock the Boat,The Hues Corporation,https://www.youtube.com/watch?v=t3w9RyL2tG0,Experimental,Rock,Rock
93,1974,44,Smokin' in the Boys Room,Brownsville Station,https://www.youtube.com/watch?v=nK-hzAyTgn0,Rock,Pop,Rock
98,1974,49,Waterloo,ABBA,https://www.youtube.com/watch?v=3FsVeMz1F5c,Experimental,Rock,Rock
57,1974,8,The Streak,Ray Stevens,https://www.youtube.com/watch?v=bkaiCPgQ6bg,Experimental,Spoken,Spoken
66,1974,17,Rock On,David Essex,https://www.youtube.com/watch?v=ckgGUhCuEJI,Experimental,Spoken,Spoken
121,1975,22,The Hustle,Van McCoy & the Soul City Symphony,https://www.youtube.com/watch?v=wj23_nDFSfE,Blues,Experimental,Blues
104,1975,5,My Eyes Adored You,Frankie Valli,https://www.youtube.com/watch?v=vYtpKBNTCB8,Experimental,Classical,Classical
115,1975,16,Black Water,The Doobie Brothers,https://www.youtube.com/watch?v=m4oZCtfmh44,Experimental,Classical,Classical
126,1975,27,Wasted Days and Wasted Nights,Freddy Fender,https://www.youtube.com/watch?v=ZGN5Bn7EKN4,Classical,Experimental,Classical
145,1975,46,Feelings,Morris Albert,https://www.youtube.com/watch?v=sr_yaZQmRzA,Classical,Experimental,Classical
113,1975,14,Lovin' You,Minnie Riperton,https://www.youtube.com/watch?v=K7MqTrXwojk,Experimental,Electronic,Electronic
120,1975,21,Pick Up the Pieces,Average White Band,https://www.youtube.com/watch?v=xpflST8xWm8,Experimental,Electronic,Electronic
123,1975,24,Why Can't We Be Friends?,War,https://www.youtube.com/watch?v=sH0Qda32IKM,Experimental,Electronic,Electronic
128,1975,29,Fight the Power,The Isley Brothers,https://www.youtube.com/watch?v=8QZvoOqUkqw,Electronic,Experimental,Electronic
144,1975,45,Fallin' in Love,"Hamilton, Joe Frank & Reynolds",https://www.youtube.com/watch?v=TviRQl5FvU0,Experimental,Electronic,Electronic
129,1975,30,Jackie Blue,Ozark Mountain Daredevils,https://www.youtube.com/watch?v=Qr0hcoksupQ,Experimental,Folk,Folk
143,1975,44,I Can Help,Billy Swan,https://www.youtube.com/watch?v=tBBw1MEOMWI,Folk,Rock,Folk
147,1975,48,Chevy Van,Sammy Johns,https://www.youtube.com/watch?v=nsBPsPl9BZE,Experimental,Folk,Folk
140,1975,41,I'm Not Lisa,Jessi Colter,https://www.youtube.com/watch?v=ZOgTVJOdFVU,Experimental,Instrumental,Instrumental
103,1975,4,Before the Next Teardrop Falls,Freddy Fender,https://www.youtube.com/watch?v=xsCTKMwvK20,Experimental,Jazz,Jazz
125,1975,26,Boogie On Reggae Woman,Stevie Wonder,https://www.youtube.com/watch?v=MkmlHBf3Yak,Jazz,Electronic,Jazz
136,1975,37,Have You Never Been Mellow,Olivia Newton-John,https://www.youtube.com/watch?v=t2S1nmxYmUg,Experimental,Jazz,Jazz
137,1975,38,Could It Be Magic,Barry Manilow,https://www.youtube.com/watch?v=UC7oRmafIVQ,Experimental,Jazz,Jazz
139,1975,40,Wildfire,Michael Martin Murphey,https://www.youtube.com/watch?v=8raV2MZQJjk,Experimental,Jazz,Jazz
149,1975,50,Please Mr. Please,Olivia Newton-John,https://www.youtube.com/watch?v=Z6-INkIW0dw,Experimental,Jazz,Jazz
101,1975,2,Rhinestone Cowboy,Glen Campbell,https://www.youtube.com/watch?v=8kAU3B9Pi_U,Experimental,Pop,Pop
105,1975,6,Some Kind of Wonderful,Grand Funk Railroad,https://www.youtube.com/watch?v=dxEKa4dlKVw,Experimental,Pop,Pop
106,1975,7,Shining Star,"Earth, Wind & Fire",https://www.youtube.com/watch?v=Zu9a29UR2dU,Experimental,Pop,Pop
111,1975,12,Jive Talkin',Bee Gees,https://www.youtube.com/watch?v=oALKAh_bL5g,Pop,Rock,Pop
112,1975,13,Best of My Love,Eagles,https://www.youtube.com/watch?v=iU-wXrdh-8U,Experimental,Pop,Pop
114,1975,15,Kung Fu Fighting,Carl Douglas,https://www.youtube.com/watch?v=RqIw42FL3l0,Experimental,Pop,Pop
117,1975,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,https://www.youtube.com/watch?v=QyrRYIrhLL0,Experimental,Pop,Pop
131,1975,32,Magic,Pilot,https://www.youtube.com/watch?v=MzlK0OGpIRs,Experimental,Pop,Pop
132,1975,33,Please Mr. Postman,The Carpenters,https://www.youtube.com/watch?v=AHfddvbKb4w,Pop,Experimental,Pop
141,1975,42,Listen to What the Man Said,Wings,https://www.youtube.com/watch?v=YxslbXDBmaY,Experimental,Pop,Pop
148,1975,49,"You're the First, the Last, My Everything",Barry White,https://www.youtube.com/watch?v=E7zmRvhFEYo,Experimental,Pop,Pop
100,1975,1,Love Will Keep Us Together,Captain & Tennille,https://www.youtube.com/watch?v=_QNEf9oGw8o,Experimental,Rock,Rock
102,1975,3,Philadelphia Freedom,Elton John,https://www.youtube.com/watch?v=hwcmvKvc91Q,Experimental,Rock,Rock
107,1975,8,Fame,David Bowie,https://www.youtube.com/watch?v=9tnRWcEg6i8,Experimental,Rock,Rock
108,1975,9,Laughter in the Rain,Neil Sedaka,https://www.youtube.com/watch?v=MtIibcNDQ6o,Experimental,Rock,Rock
109,1975,10,One of These Nights,Eagles,https://www.youtube.com/watch?v=ESc2Tq2HzhQ,Experimental,Rock,Rock
110,1975,11,Thank God I'm a Country Boy,John Denver,https://www.youtube.com/watch?v=Un76G6mZgCY,Experimental,Rock,Rock
116,1975,17,The Ballroom Blitz,Sweet,https://www.youtube.com/watch?v=tqketmsRz1E,Experimental,Rock,Rock
118,1975,19,He Don't Love You (Like I Love You),Tony Orlando and Dawn,https://www.youtube.com/watch?v=Iak3KnPVZ94,Experimental,Rock,Rock
119,1975,20,At Seventeen,Janis Ian,https://www.youtube.com/watch?v=VMUz2TNMvL0,Experimental,Rock,Rock
122,1975,23,Lady Marmalade,Labelle,https://www.youtube.com/watch?v=t4LWIP7SAjY,Experimental,Rock,Rock
124,1975,25,Love Won't Let Me Wait,Major Harris,https://www.youtube.com/watch?v=zG9K0x5MGDc,Experimental,Rock,Rock
127,1975,28,Angie Baby,Helen Reddy,https://www.youtube.com/watch?v=UQKyGt_I5L4,Experimental,Rock,Rock
130,1975,31,Fire,Ohio Players,https://www.youtube.com/watch?v=zRtajmICBnU,Experimental,Rock,Rock
133,1975,34,Sister Golden Hair,America,https://www.youtube.com/watch?v=XIycEe59Auc,Experimental,Rock,Rock
134,1975,35,Lucy in the Sky with Diamonds,Elton John,https://www.youtube.com/watch?v=zJtAAg_jAjk,Experimental,Rock,Rock
135,1975,36,Mandy,Barry Manilow,https://www.youtube.com/watch?v=AvGpvQbkccE,Experimental,Rock,Rock
138,1975,39,Cat's in the Cradle,Harry Chapin,https://www.youtube.com/watch?v=gTP7NEZDQr8,Experimental,Rock,Rock
142,1975,43,I'm Not in Love,10cc,https://www.youtube.com/watch?v=STugQ0X1NoI,Experimental,Rock,Rock
146,1975,47,When Will I Be Loved,Linda Ronstadt,https://www.youtube.com/watch?v=MiUvPr3_6iE,Experimental,Rock,Rock
156,1976,7,Love Machine,The Miracles,https://www.youtube.com/watch?v=WHcQ5wRZ9iU,Blues,Experimental,Blues
184,1976,35,Only Sixteen,Dr. Hook,https://www.youtube.com/watch?v=olQNes_mq8I,Experimental,Classical,Classical
185,1976,36,Let Your Love Flow,The Bellamy Brothers,https://www.youtube.com/watch?v=FQQj2rQBFvA,Experimental,Classical,Classical
150,1976,1,Silly Love Songs,Wings,https://www.youtube.com/watch?v=ap87QgZKTNw,Experimental,Electronic,Electronic
157,1976,8,50 Ways to Leave Your Lover,Paul Simon,https://www.youtube.com/watch?v=ABXtWqmArUU,Experimental,Electronic,Electronic
158,1976,9,Love Is Alive,Gary Wright,https://www.youtube.com/watch?v=KO75Ct234nc,Experimental,Electronic,Electronic
159,1976,10,A Fifth of Beethoven,Walter Murphy,https://www.youtube.com/watch?v=0ouMaLRth-s,Experimental,Electronic,Electronic
163,1976,14,"Fly, Robin, Fly",Silver Convention,https://www.youtube.com/watch?v=oUPdG4DA42g,Experimental,Electronic,Electronic
172,1976,23,Love Hurts,Nazareth,https://www.youtube.com/watch?v=soDZBW-1P04,Experimental,Electronic,Electronic
173,1976,24,Get Up and Boogie,Silver Convention,https://www.youtube.com/watch?v=hKGrfC1860o,Experimental,Electronic,Electronic
175,1976,26,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,https://www.youtube.com/watch?v=l3fZuW-aJsg,Electronic,Experimental,Electronic
177,1976,28,Right Back Where We Started From,Maxine Nightingale,https://www.youtube.com/watch?v=ckCwBAhz4oc,Experimental,Electronic,Electronic
178,1976,29,Theme from ,Rhythm Heritage,https://www.youtube.com/watch?v=eS-GcJEsTBo,Experimental,Electronic,Electronic
180,1976,31,You Should Be Dancing,Bee Gees,https://www.youtube.com/watch?v=_JoZS6LgqYI,Experimental,Electronic,Electronic
186,1976,37,Dream Weaver,Gary Wright,https://www.youtube.com/watch?v=xZKuzwPOefs,Experimental,Electronic,Electronic
190,1976,41,Love to Love You Baby,Donna Summer,https://www.youtube.com/watch?v=V5AztWseIdU,Experimental,Electronic,Electronic
192,1976,43,Theme from ,Diana Ross,https://www.youtube.com/watch?v=eS-GcJEsTBo,Experimental,Electronic,Electronic
194,1976,45,That's the Way (I Like It),KC and the Sunshine Band,https://www.youtube.com/watch?v=Ajrir__HG9o,Experimental,Electronic,Electronic
195,1976,46,A Little Bit More,Dr. Hook,https://www.youtube.com/watch?v=uF0_947VPNA,Experimental,Electronic,Electronic
160,1976,11,Sara Smile,Hall & Oates,https://www.youtube.com/watch?v=dYEpFJhuu1E,Experimental,Folk,Folk
170,1976,21,I'd Really Love to See You Tonight,England Dan & John Ford Coley,https://www.youtube.com/watch?v=P8RShs00yR0,Experimental,Folk,Folk
152,1976,3,Disco Lady,Johnnie Taylor,https://www.youtube.com/watch?v=qOPYn1l1pvw,Experimental,Jazz,Jazz
153,1976,4,"December, 1963 (Oh, What a Night)",The Four Seasons,https://www.youtube.com/watch?v=zHmKP0uQNLg,Jazz,Experimental,Jazz
155,1976,6,Kiss and Say Goodbye,The Manhattans,https://www.youtube.com/watch?v=wtjro7_R3-4,Experimental,Jazz,Jazz
169,1976,20,Boogie Fever,The Sylvers,https://www.youtube.com/watch?v=YHKCHvpYq_8,Experimental,Jazz,Jazz
176,1976,27,Sweet Love,Commodores,https://www.youtube.com/watch?v=OPT3ZzxJlRM,Experimental,Jazz,Jazz
189,1976,40,All by Myself,Eric Carmen,https://www.youtube.com/watch?v=iN9CjAfo5n0,Experimental,Jazz,Jazz
193,1976,44,Sweet Thing,Rufus,https://www.youtube.com/watch?v=ZLaj4VMQfxc,Jazz,Experimental,Jazz
161,1976,12,Afternoon Delight,Starland Vocal Band,https://www.youtube.com/watch?v=wu1UXCdyNo0,Pop,Experimental,Pop
164,1976,15,Love Hangover,Diana Ross,https://www.youtube.com/watch?v=yOzO_4NS8NI,Experimental,Pop,Pop
168,1976,19,Misty Blue,Dorothy Moore,https://www.youtube.com/watch?v=RMONGMDEerI,Experimental,Pop,Pop
181,1976,32,You'll Never Find Another Love Like Mine,Lou Rawls,https://www.youtube.com/watch?v=7RPjCUhHzsU,Experimental,Pop,Pop
182,1976,33,Golden Years,David Bowie,https://www.youtube.com/watch?v=1Dx2XPdmvpY,Experimental,Pop,Pop
183,1976,34,Moonlight Feels Right,Starbuck,https://www.youtube.com/watch?v=HYnQsvtfEsQ,Pop,Experimental,Pop
196,1976,47,Shannon,Henry Gross,https://www.youtube.com/watch?v=R5Wpn3dFrEs,Experimental,Pop,Pop
197,1976,48,If You Leave Me Now,Chicago,https://www.youtube.com/watch?v=-9_d-sFhmRM,Experimental,Pop,Pop
198,1976,49,Lowdown,Boz Scaggs,https://www.youtube.com/watch?v=I-hKBmTAADo,Experimental,Pop,Pop
151,1976,2,Don't Go Breaking My Heart,"Elton John,Kiki Dee,",https://www.youtube.com/watch?v=z0qW9P-uYfM,Experimental,Rock,Rock
154,1976,5,Play That Funky Music,Wild Cherry,https://www.youtube.com/watch?v=SFiv9M577a4,Experimental,Rock,Rock
162,1976,13,I Write the Songs,Barry Manilow,https://www.youtube.com/watch?v=934QpLtK05s,Experimental,Rock,Rock
165,1976,16,Get Closer,Seals and Crofts,https://www.youtube.com/watch?v=6aSvzT7nuF4,Experimental,Rock,Rock
166,1976,17,"More, More, More",Andrea True Connection,https://www.youtube.com/watch?v=73RYirgeLV4,Experimental,Rock,Rock
167,1976,18,Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=P3nng0HOhC4,Experimental,Rock,Rock
171,1976,22,You Sexy Thing,Hot Chocolate,https://www.youtube.com/watch?v=E3fX2_bxEkg,Experimental,Rock,Rock
174,1976,25,Take It to the Limit,Eagles,https://www.youtube.com/watch?v=tJkW0Clsvrk,Experimental,Rock,Rock
179,1976,30,Love Rollercoaster,Ohio Players,https://www.youtube.com/watch?v=9VH6yD8zobM,Experimental,Rock,Rock
187,1976,38,Turn the Beat Around,Vicki Sue Robinson,https://www.youtube.com/watch?v=vz9pZW5OvM4,Experimental,Rock,Rock
188,1976,39,Lonely Night (Angel Face),Captain & Tennille,https://www.youtube.com/watch?v=a2pA8XZRb7c,Experimental,Rock,Rock
191,1976,42,Deep Purple,"Donny,Marie Osmond,",https://www.youtube.com/watch?v=CXIENnTJ5a8,Experimental,Rock,Rock
199,1976,50,Show Me the Way,Peter Frampton,https://www.youtube.com/watch?v=UAynwzutk0A,Experimental,Rock,Rock
203,1977,4,Evergreen (Love Theme from ,Barbra Streisand,https://www.youtube.com/watch?v=udLeOOy6em4,Experimental,Classical,Classical
223,1977,24,When I Need You,Leo Sayer,https://www.youtube.com/watch?v=l9mjLRmx6nk,Experimental,Classical,Classical
226,1977,27,You Don't Have to Be a Star (To Be in My Show),"Marilyn McCoo,Billy Davis Jr.,",https://www.youtube.com/watch?v=-nb9jJg_wIU,Experimental,Classical,Classical
234,1977,35,I've Got Love on My Mind,Natalie Cole,https://www.youtube.com/watch?v=eXRyH4h4TUc,Experimental,Classical,Classical
243,1977,44,The Things We Do for Love,10cc,https://www.youtube.com/watch?v=P0rf3_viTxk,Classical,Experimental,Classical
202,1977,3,Best of My Love,The Emotions,https://www.youtube.com/watch?v=1ebosz4VbE8,Experimental,Electronic,Electronic
206,1977,7,Don't Leave Me This Way,Thelma Houston,https://www.youtube.com/watch?v=rUdw7V-FC_Q,Experimental,Electronic,Electronic
209,1977,10,Torn Between Two Lovers,Mary MacGregor,https://www.youtube.com/watch?v=w1F5BLLFAeM,Experimental,Electronic,Electronic
210,1977,11,I'm Your Boogie Man,KC and the Sunshine Band,https://www.youtube.com/watch?v=L73V8_VmqBQ,Experimental,Electronic,Electronic
216,1977,17,Do You Wanna Make Love,Peter McCann,https://www.youtube.com/watch?v=9Kj-tdp7reE,Experimental,Electronic,Electronic
231,1977,32,Couldn't Get It Right,Climax Blues Band,https://www.youtube.com/watch?v=FLqYZ0XDirU,Electronic,Experimental,Electronic
235,1977,36,Blinded by the Light,Manfred Mann's Earth Band,https://www.youtube.com/watch?v=lcWVL4B-4pI,Experimental,Electronic,Electronic
